DocumentCommitteeSessionID,CommitteeSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate
311999,471717,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330490.doc,2016-04-08T10:14:15.15
312000,472073,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330491.doc,2016-04-08T10:14:18.293
312001,472070,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330492.doc,2016-04-08T10:14:21.49
312002,472472,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330493.doc,2016-04-08T10:14:24.537
312003,472076,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330494.doc,2016-04-08T10:14:27.51
312004,472074,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330495.doc,2016-04-08T10:14:30.433
312005,472870,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330496.doc,2016-04-08T10:14:33.58
312007,472864,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330498.doc,2016-04-08T10:14:39.647
312009,471436,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330500.doc,2016-04-08T10:14:45.597
312010,471428,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330501.doc,2016-04-08T10:14:48.52
312012,472074,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330503.doc,2016-04-08T10:14:54.377
312018,472238,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330509.doc,2016-04-08T10:15:13.247
312019,472238,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330510.doc,2016-04-08T10:15:16.263
312020,470488,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330511.doc,2016-04-08T10:15:19.22
312021,471611,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330512.doc,2016-04-08T10:15:22.38
312022,472445,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330513.doc,2016-04-08T10:15:25.47
312023,472435,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330514.doc,2016-04-08T10:15:28.487
