doc,error
"{'DocumentBillID': '268149', 'BillID': 148984, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285485.DOC', 'LastUpdatedDate': '2014-07-07T03:30:43.213'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285485.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013607A8E410>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268150', 'BillID': 149026, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285486.DOC', 'LastUpdatedDate': '2014-07-07T03:30:49.14'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285486.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B483D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268151', 'BillID': 146925, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285487.DOC', 'LastUpdatedDate': '2014-07-07T03:30:54.55'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285487.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B4A350>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268152', 'BillID': 147601, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285488.DOC', 'LastUpdatedDate': '2014-07-07T03:30:59.85'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285488.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B50390>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268153', 'BillID': 149064, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285489.DOC', 'LastUpdatedDate': '2014-07-07T03:31:04.643'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285489.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B52350>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268154', 'BillID': 147760, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285490.DOC', 'LastUpdatedDate': '2014-07-07T03:31:09.517'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285490.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B602D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268155', 'BillID': 150154, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285491.DOC', 'LastUpdatedDate': '2014-07-07T03:31:13.94'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285491.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B62250>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268156', 'BillID': 149197, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285492.DOC', 'LastUpdatedDate': '2014-07-07T03:31:19.2'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285492.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B6C250>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268157', 'BillID': 149119, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285493.DOC', 'LastUpdatedDate': '2014-07-07T03:31:23.98'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285493.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B6E210>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268158', 'BillID': 149215, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285494.DOC', 'LastUpdatedDate': '2014-07-07T03:31:28.86'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285494.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B741D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268159', 'BillID': 146874, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285495.DOC', 'LastUpdatedDate': '2014-07-07T03:31:34.103'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285495.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B76150>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268160', 'BillID': 148266, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285496.DOC', 'LastUpdatedDate': '2014-07-07T03:31:38.997'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285496.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B7C190>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268161', 'BillID': 148198, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285497.DOC', 'LastUpdatedDate': '2014-07-07T03:31:43.94'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285497.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B7E110>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268162', 'BillID': 149080, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285498.DOC', 'LastUpdatedDate': '2014-07-07T03:31:48.473'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285498.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B90090>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268163', 'BillID': 148316, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285499.DOC', 'LastUpdatedDate': '2014-07-07T03:31:53.217'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285499.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B92050>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268164', 'BillID': 150221, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285500.DOC', 'LastUpdatedDate': '2014-07-07T03:31:58.767'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285500.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B9C0D0>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
"{'DocumentBillID': '268165', 'BillID': 148333, 'GroupTypeID': 2, 'GroupTypeDesc': 'הצעת חוק לקריאה הראשונה', 'ApplicationID': 1, 'ApplicationDesc': 'DOC', 'FilePath': 'https://fs.knesset.gov.il//3/law/3_ls1_285501.DOC', 'LastUpdatedDate': '2014-07-07T03:32:03.91'}","HTTPSConnectionPool(host='fs.knesset.gov.il', port=443): Max retries exceeded with url: //3/law/3_ls1_285501.DOC (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013606B9E090>: Failed to resolve 'fs.knesset.gov.il' ([Errno 11002] getaddrinfo failed)""))"
